#,รหัสโรค,รายละเอียด,เหตุผล,ICD-10-WHO,ICD-10-TM,ICD-10-TMD
26553,W019,"Fall on same level from slipping, tripping and stumbling: at unspec place",T,Y,Y,N
26554,W0190,"Fall on same level from slipping, tripping and stumbling: at unspec place: in sport activity",T,Y,Y,N
26555,W0191,"Fall on same level from slipping, tripping and stumbling: at unspec place: in leisure activity",T,Y,Y,N
26556,W0192,"Fall on same level from slipping, tripping and stumbling: at unspec place: while work for income",T,Y,Y,N
26557,W0193,"Fall on same level from slipping, tripping and stumbling: at unspec place: in oth type work",T,Y,Y,N
26558,W0194,"Fall on same level from slipping, tripping and stumbling: at unspec place: while resting...",T,Y,Y,N
26559,W0198,"Fall on same level from slipping, tripping and stumbling: at unspec place: in oth spec activity",T,Y,Y,N
26560,W0199,"Fall on same level from slipping, tripping and stumbling: at unspec place: during unspec activity",T,Y,Y,N
26561,W02,"Fall involving ice skates, skis, roller-skates or skateboards",F,Y,N,N
26562,W020,"Fall involving ice skates, skis, roller-skates or skateboards: at home",T,Y,Y,N
26563,W0200,"Fall involving ice skates, skis, roller-skates or skateboards: at home: in sport activity",T,Y,Y,N
26564,W0201,"Fall involving ice skates, skis, roller-skates or skateboards: at home: in leisure activity",T,Y,Y,N
26565,W0202,"Fall involving ice skates, skis, roller-skates or skateboards: at home: while work for income",T,Y,Y,N
26566,W0203,"Fall involving ice skates, skis, roller-skates or skateboards: at home: in oth type work",T,Y,Y,N
26567,W0204,"Fall involving ice skates, skis, roller-skates or skateboards: at home: while resting...",T,Y,Y,N
26568,W0208,"Fall involving ice skates, skis, roller-skates or skateboards: at home: in oth spec activity",T,Y,Y,N
26569,W0209,"Fall involving ice skates, skis, roller-skates or skateboards: at home: during unspec activity",T,Y,Y,N
26570,W021,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn",T,Y,Y,N
26571,V635,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident",T,Y,Y,N
26572,V6350,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: in sport activity",T,Y,Y,N
26573,V6351,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: in leisure activity",T,Y,Y,N
26574,V6352,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: while work for income",T,Y,Y,N
26575,V6353,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: in oth type work",T,Y,Y,N
26576,V6354,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: while resting...",T,Y,Y,N
26577,V6358,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: in oth spec activity",T,Y,Y,N
26578,V6359,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident: during unspec activity",T,Y,Y,N
26579,V636,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident",T,Y,Y,N
26580,V6360,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in sport activity",T,Y,Y,N
26581,V6361,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in leisure activity",T,Y,Y,N
26582,V6362,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: while work for income",T,Y,Y,N
26583,V6363,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in oth type work",T,Y,Y,N
26584,V6364,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: while resting...",T,Y,Y,N
26585,V6368,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in oth spec activity",T,Y,Y,N
26586,V6369,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, passenger injured in traffic accident: during unspec activity",T,Y,Y,N
26587,V637,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident",T,Y,Y,N
26588,V6370,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in",T,Y,Y,N
26589,V6371,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in",T,Y,Y,N
26590,V6372,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: whi",T,Y,Y,N
26591,V6373,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in",T,Y,Y,N
26592,V6374,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: whi",T,Y,Y,N
26593,V6378,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in",T,Y,Y,N
26594,V6379,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: dur",T,Y,Y,N
26595,V639,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26596,V6390,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26597,V6391,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26598,V6392,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26599,V6393,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26600,V6394,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26601,V6398,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26602,V6399,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, unspecified occupant of heavy transport vehicle injured in tr",T,Y,Y,N
26603,V64,Occupant of heavy transport vehicle injured in collision with heavy transport or bus,F,Y,N,N
26604,V640,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident",T,Y,Y,N
26605,V6400,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: in sport activity",T,Y,Y,N
26606,V6401,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: in leisure activity",T,Y,Y,N
26607,V6402,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: while work for income",T,Y,Y,N
26608,V6403,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: in oth type work",T,Y,Y,N
26609,V6404,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: while resting...",T,Y,Y,N
26610,V6408,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: in oth spec activity",T,Y,Y,N
26611,V6409,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, driver injured in nontraffic accident: during unspec activity",T,Y,Y,N
26612,V641,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident",T,Y,Y,N
26613,V6410,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: in sport activity",T,Y,Y,N
26614,V7350,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: in sport activity",T,Y,Y,N
26615,V7351,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: in leisure activity",T,Y,Y,N
26616,V7352,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: while work for income",T,Y,Y,N
26617,V7353,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: in oth type work",T,Y,Y,N
26618,V7354,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: while resting...",T,Y,Y,N
26619,V7358,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: in oth spec activity",T,Y,Y,N
26620,V7359,"Bus occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident: during unspec activity",T,Y,Y,N
26621,V736,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",T,Y,Y,N
26622,V7360,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in sport activity",T,Y,Y,N
26623,V7361,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in leisure activity",T,Y,Y,N
26624,V7362,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: while work for income",T,Y,Y,N
26625,V7363,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in oth type work",T,Y,Y,N
26626,V7364,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: while resting...",T,Y,Y,N
26627,V7368,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: in oth spec activity",T,Y,Y,N
26628,V7369,"Bus occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident: during unspec activity",T,Y,Y,N
26629,V737,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident",T,Y,Y,N
26630,V7370,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in sport activity",T,Y,Y,N
26631,V7371,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in leisure activity",T,Y,Y,N
26632,V7372,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: while work for income",T,Y,Y,N
26633,V7373,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in oth type work",T,Y,Y,N
26634,V7374,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: while resting...",T,Y,Y,N
26635,V7378,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: in oth spec activity",T,Y,Y,N
26636,V7379,"Bus occupant injured in collision with car, pick-up truck or van, person on outside of vehicle injured in traffic accident: during unspec activity",T,Y,Y,N
26637,V739,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident",T,Y,Y,N
26638,V7390,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: in sport activity",T,Y,Y,N
26639,V7391,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: in leisure activity",T,Y,Y,N
26640,V7392,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: while work for income",T,Y,Y,N
26641,V7393,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: in oth type work",T,Y,Y,N
26642,V7394,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: while resting...",T,Y,Y,N
26643,V7398,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: in oth spec activity",T,Y,Y,N
26644,V7399,"Bus occupant injured in collision with car, pick-up truck or van, unspecified bus cccupant injured in traffic accident: during unspec activity",T,Y,Y,N
26645,V74,Bus occupant injured in collision with heavy transport vehicle or bus,F,Y,N,N
26646,V740,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident",T,Y,Y,N
26647,V7400,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: in sport activity",T,Y,Y,N
26648,V7401,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: in leisure activity",T,Y,Y,N
26649,V7402,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: while work for income",T,Y,Y,N
26650,V7403,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: in oth type work",T,Y,Y,N
26651,V7404,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: while resting...",T,Y,Y,N
26652,V7408,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: in oth spec activity",T,Y,Y,N
26653,V7409,"Bus occupant injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident: during unspec activity",T,Y,Y,N
26654,V741,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident",T,Y,Y,N
26655,V7410,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: in sport activity",T,Y,Y,N
26656,V7411,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: in leisure activity",T,Y,Y,N
26657,V7412,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: while work for income",T,Y,Y,N
26658,V7413,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: in oth type work",T,Y,Y,N
26659,V7414,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: while resting...",T,Y,Y,N
26660,V7418,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: in oth spec activity",T,Y,Y,N
26661,V7419,"Bus occupant injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident: during unspec activity",T,Y,Y,N
26662,V8508,Driver of special construction vehicle injured in traffic accident: in oth spec activity,T,Y,N,N
26663,V8509,Driver of special construction vehicle injured in traffic accident: during unspec activity,T,Y,N,N
26664,V851,Passenger of special construction vehicle injured in traffic accident,T,Y,Y,N
26665,V8510,Passenger of special construction vehicle injured in traffic accident: in sport activity,T,Y,N,N
26666,V8511,Passenger of special construction vehicle injured in traffic accident: in leisure activity,T,Y,N,N
26667,V8512,Passenger of special construction vehicle injured in traffic accident: while work for income,T,Y,N,N
26668,V8513,Passenger of special construction vehicle injured in traffic accident: in oth type work,T,Y,N,N
26669,V8514,Passenger of special construction vehicle injured in traffic accident: while resting...,T,Y,N,N
26670,V8518,Passenger of special construction vehicle injured in traffic accident: in oth spec activity,T,Y,N,N
26671,V8519,Passenger of special construction vehicle injured in traffic accident: during unspec activity,T,Y,N,N
26672,V852,Person on outside of special construction vehicle injured in traffic accident,T,Y,Y,N
26673,V8520,Person on outside of special construction vehicle injured in traffic accident: in sport activity,T,Y,N,N
26674,V8521,Person on outside of special construction vehicle injured in traffic accident: in leisure activity,T,Y,N,N
26675,V8522,Person on outside of special construction vehicle injured in traffic accident: while work for income,T,Y,N,N
26676,V8523,Person on outside of special construction vehicle injured in traffic accident: in oth type work,T,Y,N,N
26677,V8524,Person on outside of special construction vehicle injured in traffic accident: while resting...,T,Y,N,N
26678,V8528,Person on outside of special construction vehicle injured in traffic accident: in oth spec activity,T,Y,N,N
26679,V8529,Person on outside of special construction vehicle injured in traffic accident: during unspec activity,T,Y,N,N
26680,V853,Unspecified occupant of special construction vehicle injured in traffic accident,T,Y,Y,N
26681,V8530,Unspecified occupant of special construction vehicle injured in traffic accident: in sport activity,T,Y,N,N
26682,V8531,Unspecified occupant of special construction vehicle injured in traffic accident: in leisure activity,T,Y,N,N
26683,V8532,Unspecified occupant of special construction vehicle injured in traffic accident: while work for income,T,Y,N,N
26684,V8533,Unspecified occupant of special construction vehicle injured in traffic accident: in oth type work,T,Y,N,N
26685,V8534,Unspecified occupant of special construction vehicle injured in traffic accident: while resting...,T,Y,N,N
26686,V8538,Unspecified occupant of special construction vehicle injured in traffic accident: in oth spec activity,T,Y,N,N
26687,V8539,Unspecified occupant of special construction vehicle injured in traffic accident: during unspec activity,T,Y,N,N
26688,V854,Person injured while boarding or alighting from special construction vehicle,T,Y,Y,N
26689,V8540,Person injured while boarding or alighting from special construction vehicle: in sport activity,T,Y,N,N
26690,V8541,Person injured while boarding or alighting from special construction vehicle: in leisure activity,T,Y,N,N
26691,V8542,Person injured while boarding or alighting from special construction vehicle: while work for income,T,Y,N,N
26692,V8543,Person injured while boarding or alighting from special construction vehicle: in oth type work,T,Y,N,N
26693,V8544,Person injured while boarding or alighting from special construction vehicle: while resting...,T,Y,N,N
26694,V8548,Person injured while boarding or alighting from special construction vehicle: in oth spec activity,T,Y,N,N
26695,V8549,Person injured while boarding or alighting from special construction vehicle: during unspec activity,T,Y,N,N
26696,V855,Driver of special construction vehicle injured in nontraffic accident,T,Y,Y,N
26697,V8550,Driver of special construction vehicle injured in nontraffic accident: in sport activity,T,Y,N,N
26698,V8551,Driver of special construction vehicle injured in nontraffic accident: in leisure activity,T,Y,N,N
26699,V8552,Driver of special construction vehicle injured in nontraffic accident: while work for income,T,Y,N,N
26700,V8553,Driver of special construction vehicle injured in nontraffic accident: in oth type work,T,Y,N,N
26701,V8554,Driver of special construction vehicle injured in nontraffic accident: while resting...,T,Y,N,N
26702,V8558,Driver of special construction vehicle injured in nontraffic accident: in oth spec activity,T,Y,N,N
26703,V8559,Driver of special construction vehicle injured in nontraffic accident: during unspec activity,T,Y,N,N
26704,V856,Passenger of special construction vehicle injured in nontraffic accident,T,Y,Y,N
26705,V8560,Passenger of special construction vehicle injured in nontraffic accident: in sport activity,T,Y,N,N
26706,V8561,Passenger of special construction vehicle injured in nontraffic accident: in leisure activity,T,Y,N,N
26707,V8562,Passenger of special construction vehicle injured in nontraffic accident: while work for income,T,Y,N,N
26708,V8563,Passenger of special construction vehicle injured in nontraffic accident: in oth type work,T,Y,N,N
26709,V8564,Passenger of special construction vehicle injured in nontraffic accident: while resting...,T,Y,N,N
26710,V8568,Passenger of special construction vehicle injured in nontraffic accident: in oth spec activity,T,Y,N,N
26711,V8569,Passenger of special construction vehicle injured in nontraffic accident: during unspec activity,T,Y,N,N
26712,V857,Person on outside of special construction vehicle injured in nontraffic accident,T,Y,Y,N
26713,V8570,Person on outside of special construction vehicle injured in nontraffic accident: in sport activity,T,Y,N,N
26714,V8571,Person on outside of special construction vehicle injured in nontraffic accident: in leisure activity,T,Y,N,N
26715,V8572,Person on outside of special construction vehicle injured in nontraffic accident: while work for income,T,Y,N,N
26716,V8573,Person on outside of special construction vehicle injured in nontraffic accident: in oth type work,T,Y,N,N
26717,V8574,Person on outside of special construction vehicle injured in nontraffic accident: while resting...,T,Y,N,N
26718,V8578,Person on outside of special construction vehicle injured in nontraffic accident: in oth spec activity,T,Y,N,N
26719,V8579,Person on outside of special construction vehicle injured in nontraffic accident: during unspec activity,T,Y,N,N
26720,V859,Unspecified occupant of special construction vehicle injured in nontraffic accident,T,Y,Y,N
26721,V8590,Unspecified occupant of special construction vehicle injured in nontraffic accident: in sport activity,T,Y,N,N
26722,V8591,Unspecified occupant of special construction vehicle injured in nontraffic accident: in leisure activity,T,Y,N,N
26723,V8592,Unspecified occupant of special construction vehicle injured in nontraffic accident: while work for income,T,Y,N,N
26724,V8593,Unspecified occupant of special construction vehicle injured in nontraffic accident: in oth type work,T,Y,N,N
26725,W0210,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: in sport activity",T,Y,Y,N
26726,W0211,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: in leisure activity",T,Y,Y,N
26727,W0212,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: while work for income",T,Y,Y,N
26728,W0213,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: in oth type work",T,Y,Y,N
26729,W0214,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: while resting...",T,Y,Y,N
26730,W0218,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: in oth spec activity",T,Y,Y,N
26731,W0219,"Fall involving ice skates, skis, roller-skates or skateboards: at residentl institutn: during unspec activity",T,Y,Y,N
26732,W022,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area",T,Y,Y,N
26733,W0220,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: in sport activity",T,Y,Y,N
26734,W0221,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: in leisure activity",T,Y,Y,N
26735,W0222,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: while work for income",T,Y,Y,N
26736,W0223,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: in oth type work",T,Y,Y,N
26737,W0224,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: while resting...",T,Y,Y,N
26738,W0228,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: in oth spec activity",T,Y,Y,N
26739,W0229,"Fall involving ice skates, skis, roller-skates or skateboards: at school, other..area: during unspec activity",T,Y,Y,N
26740,W023,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area",T,Y,Y,N
26741,W0230,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: in sport activity",T,Y,Y,N
26742,W0231,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: in leisure activity",T,Y,Y,N
26743,W0232,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: while work for income",T,Y,Y,N
26744,W0233,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: in oth type work",T,Y,Y,N
26745,W0234,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: while resting...",T,Y,Y,N
26746,W0238,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: in oth spec activity",T,Y,Y,N
26747,W0239,"Fall involving ice skates, skis, roller-skates or skateboards: at sport & athlet area: during unspec activity",T,Y,Y,N
26748,W024,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway",T,Y,Y,N
26749,W0240,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: in sport activity",T,Y,Y,N
26750,W0241,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: in leisure activity",T,Y,Y,N
26751,W0242,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: while work for income",T,Y,Y,N
26752,W0243,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: in oth type work",T,Y,Y,N
26753,W0244,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: while resting...",T,Y,Y,N
26754,W0248,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: in oth spec activity",T,Y,Y,N
26755,W0249,"Fall involving ice skates, skis, roller-skates or skateboards: at street & highway: during unspec activity",T,Y,Y,N
26756,W025,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area",T,Y,Y,N
26757,W0250,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: in sport activity",T,Y,Y,N
26758,W0251,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: in leisure activity",T,Y,Y,N
26759,W0252,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: while work for income",T,Y,Y,N
26760,W0253,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: in oth type work",T,Y,Y,N
26761,W0254,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: while resting...",T,Y,Y,N
26762,W0258,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: in oth spec activity",T,Y,Y,N
26763,W0259,"Fall involving ice skates, skis, roller-skates or skateboards: at trade & service area: during unspec activity",T,Y,Y,N
26764,W026,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area",T,Y,Y,N
26765,W0260,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: in sport activity",T,Y,Y,N
26766,W0261,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: in leisure activity",T,Y,Y,N
26767,W0262,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: while work for income",T,Y,Y,N
26768,W0263,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: in oth type work",T,Y,Y,N
26769,W0264,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: while resting...",T,Y,Y,N
26770,W0268,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: in oth spec activity",T,Y,Y,N
26771,W0269,"Fall involving ice skates, skis, roller-skates or skateboards: at industr & const area: during unspec activity",T,Y,Y,N
26772,W027,"Fall involving ice skates, skis, roller-skates or skateboards: at farm",T,Y,Y,N
26773,W0270,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: in sport activity",T,Y,Y,N
26774,W0271,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: in leisure activity",T,Y,Y,N
26775,W0272,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: while work for income",T,Y,Y,N
26776,W0273,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: in oth type work",T,Y,Y,N
26777,W0274,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: while resting...",T,Y,Y,N
26778,W0278,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: in oth spec activity",T,Y,Y,N
26779,W0279,"Fall involving ice skates, skis, roller-skates or skateboards: at farm: during unspec activity",T,Y,Y,N
26780,W028,"Fall involving ice skates, skis, roller-skates or skateboards: at other spec places",T,Y,Y,N
26781,W0280,"Fall involving ice skates, skis, roller-skates or skateboards: at other spec places: in sport activity",T,Y,Y,N
26782,W0281,"Fall involving ice skates, skis, roller-skates or skateboards: at other spec places: in leisure activity",T,Y,Y,N
26783,W0282,"Fall involving ice skates, skis, roller-skates or skateboards: at other spec places: while work for income",T,Y,Y,N
26784,V6411,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: in leisure activity",T,Y,Y,N
26785,V6412,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: while work for income",T,Y,Y,N
26786,V6413,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: in oth type work",T,Y,Y,N
26787,V6414,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: while resting...",T,Y,Y,N
26788,V6418,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: in oth spec activity",T,Y,Y,N
26789,V6419,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, passenger injured in nontraffic accident: during unspec activity",T,Y,Y,N
26790,V642,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident",T,Y,Y,N
26791,V6420,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: in",T,Y,Y,N
26792,V6421,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: in",T,Y,Y,N
26793,V6422,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: whi",T,Y,Y,N
26794,V6423,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: in",T,Y,Y,N
26795,V6424,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: whi",T,Y,Y,N
26796,V6428,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: in",T,Y,Y,N
26797,V6429,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, person on outside of vehicle injured in nontraffic accident: dur",T,Y,Y,N
26798,V643,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, unspecified occupant of heavy transport vehicle injured in nontr",T,Y,Y,N
26799,V6430,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, unspecified occupant of heavy transport vehicle injured in nontr",T,Y,Y,N
26800,V6431,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, unspecified occupant of heavy transport vehicle injured in nontr",T,Y,Y,N
26801,V6432,"Occupant of heavy transport vehicle injured in collision with heavy transport or bus, unspecified occupant of heavy transport vehicle injured in nontr",T,Y,Y,N
